iter	Logloss
0	0.5871212742
1	0.506721405
2	0.4480831001
3	0.4044868439
4	0.3744506056
5	0.3493710218
6	0.3325332973
7	0.3182360339
8	0.30548396
9	0.2935168422
10	0.2847844259
11	0.2789833558
12	0.2722176168
13	0.2668955724
14	0.2627603466
15	0.258581608
16	0.2544111006
17	0.2515292936
18	0.2482087127
19	0.2456053976
20	0.2434867966
21	0.2419117414
22	0.237935933
23	0.2359496097
24	0.2319494143
25	0.2288698227
26	0.2260654914
27	0.2235397971
28	0.2192998051
29	0.2156057982
30	0.2135368323
31	0.2108888141
32	0.2083019798
33	0.2072527639
34	0.2052192805
35	0.2035965061
36	0.2005447241
37	0.19781186
38	0.1962576395
39	0.1949328292
40	0.1934449577
41	0.1926232099
42	0.1911638071
43	0.1891911654
44	0.1881979939
45	0.1871974628
46	0.1861577343
47	0.1852471812
48	0.1843547087
49	0.1829300793
50	0.1809907102
51	0.1791374831
52	0.1782926796
53	0.1774451941
54	0.1766813692
55	0.1750652613
56	0.1730886079
57	0.1710802028
58	0.170131846
59	0.168940064
60	0.1679853701
61	0.1668392522
62	0.1654553772
63	0.1644301525
64	0.1628341901
65	0.1612139812
66	0.1603335325
67	0.1593510986
68	0.1585202709
69	0.1581266841
70	0.1569189688
71	0.1561683562
72	0.1548331638
73	0.1538631071
74	0.1526943122
75	0.1519034363
76	0.1511788925
77	0.1500902793
78	0.1491287685
79	0.1479589726
80	0.1475604544
81	0.1466226978
82	0.1460735723
83	0.144223394
84	0.1434664642
85	0.1426934999
86	0.1420509072
87	0.1412151268
88	0.1405158926
89	0.1395585017
90	0.1389154057
91	0.1378465138
92	0.1364381897
93	0.1350450525
94	0.1344058778
95	0.1332355515
96	0.1324273639
97	0.1315196514
98	0.1312765336
99	0.1305604541
100	0.1296309552
101	0.1290084679
102	0.1281461811
103	0.1270086974
104	0.1262650025
105	0.1254811833
106	0.124376946
107	0.123819629
108	0.1230979627
109	0.1226440858
110	0.121984648
111	0.1215201442
112	0.1208208158
113	0.1201046063
114	0.1196461539
115	0.1191478535
116	0.1187689617
117	0.1180817303
118	0.1171061572
119	0.1166846964
120	0.1157255952
121	0.1151694957
122	0.1144802834
123	0.1135563
124	0.1124310243
125	0.1119942371
126	0.1114203504
127	0.1108808979
128	0.1105307014
129	0.1101465539
130	0.1095605407
131	0.1092380409
132	0.108610798
133	0.1081211962
134	0.1076776822
135	0.1071494662
136	0.1063187616
137	0.1053549748
138	0.104893052
139	0.1045594866
140	0.1040768829
141	0.1034170822
142	0.1029461847
143	0.1023849966
144	0.1017662126
145	0.1014979507
146	0.1010961655
147	0.1006830434
148	0.100453741
149	0.1000475675
150	0.09979452251
151	0.09921830936
152	0.09813485279
153	0.09783669528
154	0.09729243232
155	0.09712866309
156	0.09664116858
157	0.09603323273
158	0.09569588782
159	0.09539183411
160	0.09506164607
161	0.09432450397
162	0.09387469482
163	0.09348693478
164	0.09298277187
165	0.09259186169
166	0.09228801136
167	0.09211329009
168	0.09182182416
169	0.09124828559
170	0.09066393914
171	0.09031338611
172	0.09001103254
173	0.08961130993
174	0.08912204556
175	0.08853435965
176	0.0883117098
177	0.08765538975
178	0.08716778036
179	0.0865030525
180	0.08607732924
181	0.08565563059
182	0.08547473136
183	0.0850382828
184	0.08479674646
185	0.08440948868
186	0.08386866087
187	0.08362601043
188	0.08336770739
189	0.08261150636
190	0.08222925114
191	0.08204363161
192	0.08136426107
193	0.08102521578
194	0.0806566003
195	0.08007981523
196	0.07971513345
197	0.07939975217
198	0.07909646818
199	0.07885145927
200	0.07846608758
201	0.0783226745
202	0.07806220137
203	0.07746581168
204	0.07714246634
205	0.07691096375
206	0.07656182542
207	0.07634058938
208	0.07606038697
209	0.07567596181
210	0.07535950898
211	0.07523138908
212	0.07492761128
213	0.07444127683
214	0.07419335936
215	0.07398571161
216	0.0737198698
217	0.0733992545
218	0.07314643355
219	0.07278982304
220	0.07266517953
221	0.07246694372
222	0.07216994882
223	0.07189828575
224	0.07167374387
225	0.07131770187
226	0.07118445669
227	0.0709271961
228	0.07031632741
229	0.07017431905
230	0.06992994562
231	0.06950125063
232	0.06940431917
233	0.06877244862
234	0.06831194644
235	0.06799071621
236	0.06781280019
237	0.06745798166
238	0.06728728373
239	0.06710408027
240	0.06680994468
241	0.06623857457
242	0.06598960488
243	0.0657156753
244	0.06552704402
245	0.0653154876
246	0.06513237921
247	0.06501032105
248	0.06479112025
249	0.06454979723
250	0.06413233563
251	0.06382551489
252	0.06324724703
253	0.06273994864
254	0.0624387938
255	0.06229763578
256	0.06206363821
257	0.0619765147
258	0.06173290347
259	0.06150155612
260	0.06126527685
261	0.0610292885
262	0.06081540886
263	0.06054313996
264	0.06016897287
265	0.05998367091
266	0.05972710193
267	0.05948970388
268	0.05929786978
269	0.05916567356
270	0.05901459687
271	0.05886394546
272	0.05868515741
273	0.05855285184
274	0.05833818014
275	0.05813357334
276	0.05794014823
277	0.05769276605
278	0.05762780617
279	0.05728220616
280	0.05714722695
281	0.05664002208
282	0.05647708228
283	0.05631251103
284	0.0561599236
285	0.05604531821
286	0.05590504325
287	0.05563866191
288	0.05546788023
289	0.05523596994
290	0.055144317
291	0.05499068563
292	0.05468490423
293	0.05443790024
294	0.05428914713
295	0.05394047031
296	0.05367933131
297	0.05347469629
298	0.0531051701
299	0.05298947804
300	0.05280489919
301	0.05258090759
302	0.05239074761
303	0.05224833467
304	0.05209751966
305	0.05181640098
306	0.05162158931
307	0.05127165821
308	0.05113046934
309	0.05086973778
310	0.05062285191
311	0.05043442152
312	0.05029278057
313	0.05019231478
314	0.05004687484
315	0.04991996083
316	0.04965234659
317	0.04950028877
318	0.04914535191
319	0.04901826492
320	0.04874018289
321	0.04857694093
322	0.04837999475
323	0.0481576207
324	0.04793463623
325	0.04782277529
326	0.04773525967
327	0.0475352808
328	0.04736563346
329	0.04700263557
330	0.04684024746
331	0.04666497842
332	0.04652361156
333	0.04628634839
334	0.04613672362
335	0.04591002772
336	0.04579816223
337	0.04551884452
338	0.04540142415
339	0.04524057208
340	0.04506514025
341	0.04498897493
342	0.04483624309
343	0.04461270968
344	0.04444199321
345	0.04426853707
346	0.04409958949
347	0.04398635001
348	0.04381517283
349	0.04367086649
350	0.04349273936
351	0.04333944834
352	0.04317071397
353	0.04300677695
354	0.04278321865
355	0.04272106661
356	0.04257937339
357	0.04246034896
358	0.04229211446
359	0.04221740401
360	0.04211310231
361	0.0419682084
362	0.04181151318
363	0.04167190986
364	0.04152259427
365	0.04141458642
366	0.04123914847
367	0.04110993583
368	0.04094134561
369	0.04084942545
370	0.04064271856
371	0.04048154467
372	0.0403127019
373	0.04023165486
374	0.04011827186
375	0.04001714986
376	0.03987803035
377	0.03975784297
378	0.03962779994
379	0.03958226558
380	0.03939067496
381	0.03925654212
382	0.03912808407
383	0.03908413398
384	0.0390680998
385	0.03888464017
386	0.03881022895
387	0.03871159383
388	0.03844448389
389	0.03829144681
390	0.03818623189
391	0.03806076326
392	0.03784634567
393	0.03770751503
394	0.03740149731
395	0.03723951557
396	0.03712427114
397	0.03703489986
398	0.03692843909
399	0.0367329281
400	0.03661565652
401	0.03652675211
402	0.03646561836
403	0.03629019889
404	0.03617299868
405	0.03609186572
406	0.03600070545
407	0.03590157443
408	0.0357883315
409	0.0356170942
410	0.03556657658
411	0.03545247825
412	0.03538848135
413	0.03532153722
414	0.03510306686
415	0.03492573093
416	0.03484740164
417	0.03465944962
418	0.0345607901
419	0.03447789831
420	0.03433154377
421	0.03426358936
422	0.0341832815
423	0.03406816978
424	0.03396409391
425	0.03392256726
426	0.03382473755
427	0.03377472805
428	0.03369337045
